        4000
Ar     1  0.1153776E+01  0.1047189E+01  0.4449770E+00 -0.3680832E-06  0.1196381E-04 -0.1250688E-03
Ar     2  0.3826073E+01  0.4113944E+01  0.1430591E+00  0.5815450E-05 -0.1124551E-04  0.2652490E-04
Ar     3  0.3982914E+01  0.1143629E+01  0.2944238E+01 -0.1198337E-03 -0.1534792E-05 -0.1015140E-04
Ar     4  0.1461704E+01  0.3885317E+01  0.2968296E+01  0.1473897E-04  0.2239712E-04  0.1114279E-04
Ar     5  0.1333834E+01  0.9784738E+00  0.5342843E+01  0.1163727E-03  0.4722448E-04  0.1289802E-03
Ar     6  0.3847702E+01  0.3889289E+01  0.5547694E+01  0.8657751E-04 -0.1253006E-05  0.6360677E-04
Ar     7  0.3745406E+01  0.1413399E+01  0.8035242E+01 -0.7362304E-04 -0.3569384E-04  0.1505892E-04
Ar     8  0.1160226E+01  0.3831949E+01  0.8435602E+01 -0.2824366E-05 -0.5145428E-05 -0.1849568E-04
Ar     9  0.9830243E+00  0.9926257E+00  0.1059552E+02 -0.2305914E-04  0.3792555E-04 -0.1233047E-04
Ar    10  0.3306818E+01  0.3914359E+01  0.1120241E+02  0.1270008E-03  0.7280424E-05  0.1486244E-04
Ar    11  0.3786613E+01  0.9575267E+00  0.1383409E+02  0.7328947E-04  0.6644397E-05 -0.3351108E-04
Ar    12  0.6927850E+00  0.3783725E+01  0.1373258E+02 -0.5645085E-04 -0.4471692E-04 -0.1062285E-04
Ar    13  0.9426619E+00  0.8182974E+00  0.1601364E+02 -0.8606194E-04 -0.5427170E-04  0.7151101E-04
Ar    14  0.3486922E+01  0.3832337E+01  0.1641048E+02 -0.6074450E-04  0.1155726E-06 -0.6148013E-04
Ar    15  0.3580337E+01  0.1221143E+01  0.1902740E+02  0.1337213E-05  0.6014090E-04 -0.4238957E-04
Ar    16  0.7898802E+00  0.3686058E+01  0.1887629E+02  0.2485919E-04  0.3428521E-04 -0.2776462E-04
Ar    17  0.1284091E+01  0.1203185E+01  0.2171666E+02  0.2350938E-04 -0.3400653E-04 -0.2544966E-04
Ar    18  0.3831758E+01  0.4021270E+01  0.2165074E+02  0.4731934E-04 -0.3713115E-04  0.8688471E-05
Ar    19  0.3645377E+01  0.9951463E+00  0.2452619E+02 -0.7028457E-04  0.3663020E-04  0.6090045E-04
Ar    20  0.1175925E+01  0.3675284E+01  0.2433410E+02  0.4859027E-04  0.4849746E-04  0.7982920E-05
Ar    21  0.8137117E+00  0.1173405E+01  0.2705478E+02  0.5178571E-04  0.3995876E-04 -0.3112083E-04
Ar    22  0.3765904E+01  0.3652742E+01  0.2691499E+02  0.7774144E-04 -0.1169757E-04  0.2934039E-04
Ar    23  0.3431962E+01  0.1379261E+01  0.2976761E+02 -0.1398990E-04  0.6081209E-05 -0.9736731E-04
Ar    24  0.7524292E+00  0.3612166E+01  0.3020500E+02 -0.3681037E-04 -0.8763755E-04  0.2966027E-04
Ar    25  0.9742489E+00  0.1177992E+01  0.3293301E+02  0.2901949E-04 -0.1163220E-03 -0.7086145E-04
Ar    26  0.3610608E+01  0.3858445E+01  0.3281230E+02  0.8159793E-04 -0.2046217E-04  0.1083513E-04
Ar    27  0.4081146E+01  0.1148446E+01  0.3530023E+02 -0.2229002E-04  0.7304540E-04 -0.3292897E-04
Ar    28  0.1305710E+01  0.4078144E+01  0.3534479E+02  0.4528253E-04  0.7521373E-04 -0.2659806E-04
Ar    29  0.9351658E+00  0.9372332E+00  0.3784443E+02 -0.3347814E-04 -0.6813028E-04 -0.5776121E-04
Ar    30  0.3905580E+01  0.3472557E+01  0.3787287E+02 -0.3120664E-04 -0.1994977E-04  0.3893282E-04
Ar    31  0.3743749E+01  0.1331855E+01  0.4068555E+02  0.2589574E-04  0.6036481E-04  0.3138877E-04
Ar    32  0.6440181E+00  0.3754143E+01  0.4039635E+02  0.3949248E-04  0.1108406E-03 -0.2722590E-04
Ar    33  0.9259452E+00  0.1156547E+01  0.4337605E+02 -0.3376707E-04  0.7809793E-05  0.6177523E-04
Ar    34  0.4003906E+01  0.3592828E+01  0.4338773E+02  0.1557354E-04 -0.6869720E-05  0.7749387E-04
Ar    35  0.3934244E+01  0.9696940E+00  0.4629311E+02 -0.7140756E-04 -0.1137479E-04 -0.1474525E-04
Ar    36  0.9795503E+00  0.3666199E+01  0.4617918E+02  0.3322015E-04  0.5703403E-04  0.1095090E-04
Ar    37  0.1064663E+01  0.1291068E+01  0.4865420E+02  0.2435539E-04  0.2757266E-04  0.4679707E-05
Ar    38  0.3813796E+01  0.3801954E+01  0.4845310E+02  0.5233308E-05  0.2579397E-04 -0.3576490E-04
